research_window_id,research_window_alias,requested_start,actual_start,actual_portfolio_start,end,window_role,data_quality_contract,exact_or_proxy,strategy_id,candidate_family,selection_rank,qqq_weight,sgov_weight,tqqq_weight,qqq_equivalent_exposure,cash_defensive_ratio,leveraged_asset_ratio,max_single_asset_weight,risk_bucket,annual_return,terminal_value,volatility_daily,annual_volatility,max_drawdown_daily_equity,sharpe_daily_zero_rf,calmar_daily_equity_dd,worst_1d_return,worst_5d_return,worst_20d_return,turnover,cost,net_annual_return
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.3_SGOV0.4_TQQQ0.3,second_layer_v2_static_frontier,35,0.3,0.4,0.3,1.2,0.4,0.3,0.4,,0.171367,2.32322,0.016532,0.262433,-0.426704,0.652994,0.401607,-0.069301,-0.137925,-0.182087,4.284193,0.0,0.171367
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.3_SGOV0.5_TQQQ0.2,second_layer_v2_static_frontier,36,0.3,0.5,0.2,0.9,0.5,0.2,0.5,,0.143167,2.040273,0.012397,0.196795,-0.330147,0.727495,0.433647,-0.051864,-0.10451,-0.137878,3.735991,0.0,0.143167
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.3_SGOV0.6_TQQQ0.1,second_layer_v2_static_frontier,37,0.3,0.6,0.1,0.6,0.6,0.1,0.6,,0.111385,1.755612,0.008293,0.131654,-0.224761,0.846044,0.495569,-0.034594,-0.070526,-0.093209,3.184003,0.0,0.111385
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.3_SGOV0.7_TQQQ0.0,second_layer_v2_static_frontier,38,0.3,0.7,0.0,0.3,0.7,0.0,0.7,,0.076313,1.479835,0.00422,0.066983,-0.109945,1.139298,0.694106,-0.017887,-0.035701,-0.048099,2.274658,0.0,0.076313
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.4_SGOV0.0_TQQQ0.6,second_layer_v2_static_frontier,39,0.4,0.0,0.6,2.2,0.0,0.6,0.6,,0.238037,3.12041,0.030714,0.487576,-0.679425,0.488205,0.350351,-0.131978,-0.250542,-0.3268,3.923839,0.0,0.238037
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.4_SGOV0.1_TQQQ0.5,second_layer_v2_static_frontier,40,0.4,0.1,0.5,1.9,0.1,0.5,0.5,,0.223674,2.932266,0.026412,0.419281,-0.613993,0.533472,0.364294,-0.112795,-0.217123,-0.284281,4.340138,0.0,0.223674
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.4_SGOV0.2_TQQQ0.4,second_layer_v2_static_frontier,41,0.4,0.2,0.4,1.6,0.2,0.4,0.4,,0.20485,2.699732,0.022171,0.351946,-0.539491,0.582048,0.379709,-0.094115,-0.183555,-0.24123,4.39903,0.0,0.20485
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.4_SGOV0.3_TQQQ0.3,second_layer_v2_static_frontier,42,0.4,0.3,0.3,1.3,0.3,0.3,0.4,,0.181804,2.435682,0.017979,0.285413,-0.45539,0.636985,0.399226,-0.075919,-0.149837,-0.197671,4.102173,0.0,0.181804
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.4_SGOV0.4_TQQQ0.2,second_layer_v2_static_frontier,43,0.4,0.4,0.2,1.0,0.4,0.2,0.4,,0.154796,2.153342,0.01383,0.219541,-0.36127,0.705087,0.428476,-0.058187,-0.115968,-0.153625,3.484998,0.0,0.154796
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.4_SGOV0.5_TQQQ0.1,second_layer_v2_static_frontier,44,0.4,0.5,0.1,0.7,0.5,0.1,0.5,,0.124102,1.865357,0.009715,0.154219,-0.259068,0.804713,0.479033,-0.040904,-0.081946,-0.109112,3.120524,0.0,0.124102
exact_three_asset_validated,EXACT_THREE_ASSET_VALIDATED_WINDOW,2021-02-22,2021-02-22,2021-02-22,latest,primary_validated,secondary_cross_checked,exact,static_QQQ0.4_SGOV0.6_TQQQ0.0,second_layer_v2_static_frontier,45,0.4,0.6,0.0,0.4,0.6,0.0,0.6,,0.090012,1.583015,0.005632,0.089406,-0.147278,1.006779,0.61117,-0.024051,-0.047772,-0.064152,2.454436,0.0,0.090012
